feature,timestamp,Max-mag,Max-x,Max-y,Max-z,Mean-mag,Mean-x,Mean-y,Mean-z,Min-mag,Min-x,Min-y,Min-z,Std-mag,Std-x,Std-y,Std-z,label
2011,1209600,0.387174327,0.318087318,0.680232558,0.263020833,0.740949182,0.590051706,0.927126247,0.399670166,0.716713038,0.648076923,0.813411079,0.560636183,0.34023413,0.161692306,0.59847305,0.224944776,4
2012,1210200,0.348323242,0.318087318,0.645348837,0.235677083,0.734421492,0.570775595,0.935045317,0.391456027,0.716713038,0.653846154,0.833819242,0.560636183,0.333065277,0.1522936,0.601881989,0.211578947,4
2013,1210800,0.348323242,0.318087318,0.645348837,0.235677083,0.736168293,0.566866598,0.936304129,0.400431322,0.67976956,0.653846154,0.793002915,0.532803181,0.348918423,0.163992539,0.620102617,0.22502542,4
2014,1211400,0.348323242,0.318087318,0.645348837,0.235677083,0.718169631,0.552678387,0.921610363,0.381370715,0.67976956,0.638461538,0.793002915,0.532803181,0.341257508,0.151673389,0.619181824,0.220424854,4
2015,1212000,0.348323242,0.318087318,0.645348837,0.235677083,0.720979404,0.548665977,0.924517074,0.392375757,0.67976956,0.638461538,0.793002915,0.532803181,0.341056404,0.148262015,0.613020246,0.224487267,4
2016,1212600,0.331318394,0.276507277,0.639534884,0.235677083,0.715859116,0.547135471,0.916826879,0.389426279,0.67976956,0.638461538,0.793002915,0.532803181,0.322523529,0.14897003,0.584087451,0.22370629,4
2017,1213200,0.327658496,0.276507277,0.639534884,0.209635417,0.709754979,0.553050672,0.916552229,0.360470648,0.67976956,0.638461538,0.793002915,0.532803181,0.312073614,0.14901048,0.565120502,0.219195073,4
2018,1213800,0.327658496,0.276507277,0.569767442,0.188802083,0.713384756,0.567817994,0.921747688,0.344327804,0.713491743,0.638461538,0.827988338,0.590457256,0.284052743,0.155292883,0.53086717,0.198097194,4
2019,1214400,0.327658496,0.276507277,0.569767442,0.188802083,0.723913174,0.558841779,0.942323537,0.361326948,0.733633751,0.640384615,0.860058309,0.590457256,0.267557769,0.154929985,0.492188367,0.197248869,4
2020,1215000,0.339779915,0.276507277,0.601744186,0.188802083,0.727114,0.570299897,0.952188044,0.340395167,0.733633751,0.640384615,0.864431487,0.618290258,0.267562679,0.161601543,0.489178167,0.182750373,4
2021,1215600,0.361994827,0.278586279,0.694767442,0.1796875,0.72949285,0.572301886,0.954707271,0.34154195,0.733633751,0.640384615,0.864431487,0.618290258,0.279095112,0.169613809,0.505564842,0.177668216,4
2022,1216200,0.415986371,0.278586279,0.694767442,0.19140625,0.737684326,0.591023785,0.946717935,0.356855158,0.751219983,0.640384615,0.804664723,0.648111332,0.294193104,0.162794134,0.5187399,0.181463792,4
2023,1216800,0.415986371,0.336798337,0.694767442,0.23828125,0.738306293,0.585025853,0.940080564,0.378484666,0.751219983,0.640384615,0.804664723,0.650099404,0.322220276,0.167506626,0.53422714,0.187506237,4
2024,1217400,0.415986371,0.336798337,0.694767442,0.23828125,0.740827821,0.59991727,0.934633342,0.374647173,0.731630958,0.640384615,0.804664723,0.64612326,0.336796127,0.154155375,0.568228368,0.191601687,4
2025,1218000,0.415986371,0.336798337,0.694767442,0.23828125,0.731750167,0.591789038,0.922571638,0.374044591,0.717549232,0.640384615,0.804664723,0.64612326,0.341866331,0.160821573,0.5592688,0.197644631,4
2026,1218600,0.415986371,0.336798337,0.674418605,0.23828125,0.727075467,0.5757394,0.915774055,0.392026894,0.717549232,0.684615385,0.804664723,0.64612326,0.338009609,0.136772739,0.555029286,0.19608955,4
2027,1219200,0.415290471,0.336798337,0.671511628,0.23828125,0.732134559,0.582771458,0.923235375,0.387364816,0.717549232,0.628846154,0.83090379,0.62027833,0.333419357,0.161987223,0.539916113,0.201931812,4
2028,1219800,0.468881788,0.245322245,0.671511628,0.23828125,0.719783225,0.568014148,0.913869291,0.380288977,0.667868197,0.615384615,0.82361516,0.616302187,0.362701618,0.157254337,0.560196445,0.215518427,4
2029,1220400,0.468881788,0.245322245,0.671511628,0.270833333,0.726784085,0.569534643,0.939554152,0.360438933,0.667868197,0.603846154,0.813411079,0.467196819,0.386010148,0.174640947,0.566371805,0.252113531,4
2030,1221000,0.468881788,0.245322245,0.723837209,0.270833333,0.731672468,0.569844881,0.946054198,0.365767023,0.667868197,0.603846154,0.813411079,0.467196819,0.402102798,0.187317819,0.596549495,0.257992771,4
2031,1221600,0.468881788,0.245322245,0.723837209,0.270833333,0.728078971,0.579276112,0.942186213,0.345628112,0.667868197,0.603846154,0.813411079,0.467196819,0.407400395,0.182688976,0.615654132,0.260590225,4
2032,1222200,0.468881788,0.291060291,0.723837209,0.270833333,0.72201115,0.56475698,0.936395679,0.35390568,0.667868197,0.548076923,0.813411079,0.467196819,0.415440172,0.187707782,0.626290516,0.271849771,4
2033,1222800,0.460218547,0.291060291,0.723837209,0.270833333,0.72869371,0.564136505,0.948754921,0.357965177,0.695109222,0.548076923,0.813411079,0.467196819,0.37042797,0.177419956,0.606991098,0.254382272,4
2034,1223400,0.383498098,0.388773389,0.843023256,0.229166667,0.733093055,0.562936918,0.947518997,0.375820621,0.733261917,0.548076923,0.755102041,0.632206759,0.354468153,0.186059224,0.64027214,0.231082295,4
2035,1224000,0.406867117,0.388773389,0.843023256,0.23828125,0.731509851,0.548955533,0.9416598,0.399099299,0.736666136,0.548076923,0.755102041,0.632206759,0.332463374,0.176727621,0.644962034,0.225766673,4
2036,1224600,0.406867117,0.388773389,0.843023256,0.23828125,0.738608159,0.550879007,0.949533095,0.407916019,0.736666136,0.548076923,0.755102041,0.55666004,0.310940924,0.192113344,0.622925462,0.241338104,4
2037,1225200,0.406867117,0.388773389,0.843023256,0.23828125,0.735538554,0.546763185,0.947313009,0.406552282,0.750595429,0.607692308,0.755102041,0.55666004,0.294351411,0.178693452,0.630145964,0.226577412,4
2038,1225800,0.406867117,0.388773389,0.843023256,0.23828125,0.730796823,0.546659772,0.938890415,0.403571089,0.731172101,0.607692308,0.755102041,0.55666004,0.301653544,0.180770896,0.63051876,0.240222812,4
2039,1226400,0.406867117,0.313929314,0.811046512,0.23828125,0.721681589,0.543143744,0.914515243,0.417811043,0.731172101,0.607692308,0.79154519,0.55666004,0.272257506,0.170508025,0.567800343,0.226374993,4
2040,1227000,0.406389687,0.313929314,0.808139535,0.234375,0.723503538,0.544910321,0.914537256,0.422419186,0.731172101,0.642307692,0.811953353,0.55666004,0.265942744,0.164015025,0.534940627,0.236465005,4
2041,1227600,0.406389687,0.284823285,0.808139535,0.234375,0.726481927,0.542771458,0.920260002,0.426786337,0.731172101,0.626923077,0.811953353,0.570576541,0.276961834,0.168323304,0.548208649,0.216149913,4
2042,1228200,0.327196173,0.268191268,0.686046512,0.234375,0.725986766,0.524219235,0.931886844,0.432209572,0.731172101,0.567307692,0.811953353,0.570576541,0.289570806,0.160091076,0.57362544,0.210363292,4
2043,1228800,0.327196173,0.303534304,0.686046512,0.23828125,0.739253651,0.545667011,0.937265403,0.439123402,0.732771399,0.567307692,0.811953353,0.570576541,0.300128064,0.186032141,0.574493004,0.223341975,4
